address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
"1000 BLOCK 2ND AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2017,3,1,,,,,,2,,,
"1000 BLOCK 5TH AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2017,4,6,Bluff,6,1,42003010300,3,2,2-4,40.4385727798308,-79.9908396644848
"1000 BLOCK 5TH AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,8,1,Bluff,6,1,42003010300,3,2,2-4,40.4385727798308,-79.9908396644848
"1000 BLOCK BEECHER ST PITTSBURGH, PA 15208",1,0,0,1,0,0,2015,11,5,Homewood West,9,12,42003120700,2,5,3-17,40.4598248803042,-79.9023892264957
"1000 BLOCK BIDWELL ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,9,0,Manchester,6,21,42003210700,1,1,1-8,40.4523353364973,-80.0204175001123
"1000 BLOCK BROOKLINE BLVD PITTSBURGH, PA 15226",1,0,1,0,0,0,2016,9,6,Brookline,4,19,42003191900,5,6,4-26,40.3921195534612,-80.0177038484314
"1000 BLOCK BRUSHTON AVE PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,11,3,Homewood North,9,13,42003130100,2,5,3-17,40.4565467004881,-79.887729584877
"1000 BLOCK BRUSHTON AVE PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,6,6,Homewood North,9,13,42003130100,2,5,3-17,40.4565467004881,-79.887729584877
"1000 BLOCK CALIFORNIA AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2018,4,5,California-Kirkbride,6,21,42003250700,1,1,1-9,40.4590926000662,-80.0220586506002
"1000 BLOCK CHARTIERS AVE PITTSBURGH, PA 15220",1,0,1,0,0,0,2018,12,5,Elliott,2,20,42003562600,5,6,1-17,40.4442082382811,-80.0406106283708
"1000 BLOCK CRISS ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2018,7,2,Sheraden,2,20,42003202200,5,6,1-16,40.4588137809295,-80.0645961379264
"1000 BLOCK DAVIS AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,9,2,Brighton Heights,1,27,42003270800,1,1,1-14,40.4816760020531,-80.0295594981361
"1000 BLOCK GOEHRING ST PITTSBURGH, PA 15212",2,0,0,2,0,0,2016,11,5,Spring Hill-City View,1,24,42003262000,1,1,1-24,40.4601302161527,-79.9949099085783
"1000 BLOCK HALKET ST PITTSBURGH, PA 15213",1,0,1,0,0,0,2018,9,2,,,,,,4,,,
"1000 BLOCK HERSCHEL ST PITTSBURGH, PA 15220",8,0,3,0,5,0,2018,3,3,Elliott,2,20,42003562600,5,6,1-17,40.4416902650524,-80.0443875582889
"1000 BLOCK HERSCHEL ST PITTSBURGH, PA 15220",3,0,2,0,0,1,2017,3,3,Elliott,2,20,42003562600,5,6,1-17,40.4416902650524,-80.0443875582889
"1000 BLOCK LAWNDALE ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,7,3,Homewood North,9,13,42003130100,2,5,3-17,40.4557800518,-79.8816832769871
"1000 BLOCK LIBERTY AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2017,9,0,Central Business District,6,2,42003020100,6,2,1-3,40.4434190143884,-79.9946158625346
"1000 BLOCK NORWICH AVE PITTSBURGH, PA 15226",2,0,0,2,0,0,2016,5,1,Brookline,4,19,42003191800,5,6,4-26,40.3883488034806,-80.0208725753345
"1000 BLOCK OGLETHORPE AVE PITTSBURGH, PA 15201",1,0,0,1,0,0,2018,5,0,,,,,,5,,,
"1000 BLOCK PENN AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,9,0,Central Business District,6,2,42003020100,6,2,1-3,40.4442274414143,-79.9948937550356
